percencetage_dependency,batter,batting_team,season
33.99,"V Kohli","Royal Challengers Banglore",2016
33.27,"DA Warner","Sunrisers Hyderabad",2016
31.18,"CH Gayle","Royal Challengers Banglore",2012
31.03,"KL Rahul","Punjab Kings /Kings XI Punjab",2018
30.74,"JC Buttler","Rajasthan Royals",2022
30.63,"Shubman Gill","Gujarat Titans",2023
30.51,"F du Plessis","Royal Challengers Banglore",2023
30.40,"RR Pant","Delhi Capitals/Daredevils",2018
30.37,"KL Rahul","Punjab Kings /Kings XI Punjab",2021
29.86,"KL Rahul","Punjab Kings /Kings XI Punjab",2020/21
29.41,"DA Warner","Sunrisers Hyderabad",2019
29.27,"CH Gayle","Royal Challengers Banglore",2013
28.34,"DA Warner","Sunrisers Hyderabad",2017
28.27,"KS Williamson","Sunrisers Hyderabad",2018
27.71,"RV Uthappa","Kolkata Knight Riders",2014
27.45,"ML Hayden","Chennai Super Kings",2009
27.44,"MEK Hussey","Chennai Super Kings",2013
27.44,"B Sai Sudharsan","Gujarat Titans",2025
27.33,"YBK Jaiswal","Rajasthan Royals",2023
27.25,"B Sai Sudharsan","Gujarat Titans",2024
27.17,"DA Warner","Sunrisers Hyderabad",2014
27.10,"ST Jayasuriya","Mumbai Indians",2007/08
26.70,"G Gambhir","Delhi Capitals/Daredevils",2007/08
26.57,"V Kohli","Royal Challengers Banglore",2024
26.55,"DA Warner","Sunrisers Hyderabad",2015
26.43,"AM Rahane","Rajasthan Royals",2015
26.32,"SE Marsh","Punjab Kings /Kings XI Punjab",2007/08
26.15,"CH Gayle","Royal Challengers Banglore",2011
25.88,"V Kohli","Royal Challengers Banglore",2025
25.85,"DP Conway","Chennai Super Kings",2023
25.84,"S Dhawan","Deccan Chargers",2012
25.80,"SR Tendulkar","Mumbai Indians",2011
25.61,"KL Rahul","Lucknow Super Giants",2022
25.59,"SA Yadav","Mumbai Indians",2025
25.49,"KL Rahul","Punjab Kings /Kings XI Punjab",2019
25.18,"JH Kallis","Royal Challengers Banglore",2009/10
25.04,"G Gambhir","Kolkata Knight Riders",2012
24.92,"SC Ganguly","Kolkata Knight Riders",2009/10
24.89,"DA Warner","Delhi Capitals/Daredevils",2023
24.59,"S Dhawan","Delhi Capitals/Daredevils",2021
24.46,"AM Rahane","Rising Pune Supergiants",2016
24.36,"RD Gaikwad","Chennai Super Kings",2021
24.24,"RD Gaikwad","Chennai Super Kings",2024
24.23,"SE Marsh","Punjab Kings /Kings XI Punjab",2011
24.21,"SR Tendulkar","Mumbai Indians",2009/10
24.13,"MR Marsh","Lucknow Super Giants",2025
24.08,"JC Buttler","Rajasthan Royals",2018
23.66,"V Kohli","Royal Challengers Banglore",2018
23.52,"GJ Maxwell","Royal Challengers Banglore",2021
23.49,"G Gambhir","Kolkata Knight Riders",2016
23.42,"AB de Villiers","Royal Challengers Banglore",2015
23.40,"AM Rahane","Rajasthan Royals",2012
23.39,"RG Sharma","Mumbai Indians",2016
23.25,"S Dhawan","Delhi Capitals/Daredevils",2020/21
23.19,"SV Samson","Rajasthan Royals",2021
23.01,"AB de Villiers","Delhi Capitals/Daredevils",2009
22.86,"DA Warner","Sunrisers Hyderabad",2020/21
22.76,"KL Rahul","Delhi Capitals/Daredevils",2025
22.71,"SA Yadav","Mumbai Indians",2018
22.62,"R Parag","Rajasthan Royals",2024
22.47,"DR Smith","Chennai Super Kings",2014
22.31,"Q de Kock","Delhi Capitals/Daredevils",2016
22.31,"AT Rayudu","Chennai Super Kings",2018
22.31,"YBK Jaiswal","Rajasthan Royals",2025
22.26,"JH Kallis","Kolkata Knight Riders",2011
22.13,"KL Rahul","Lucknow Super Giants",2024
22.09,"M Vijay","Punjab Kings /Kings XI Punjab",2016
21.83,"V Sehwag","Delhi Capitals/Daredevils",2011
21.81,"D Padikkal","Royal Challengers Banglore",2020/21
21.79,"V Kohli","Royal Challengers Banglore",2019
21.79,"AD Russell","Kolkata Knight Riders",2019
21.75,"BJ Hodge","Kolkata Knight Riders",2009
21.68,"AC Gilchrist","Deccan Chargers",2009
21.62,"SK Raina","Chennai Super Kings",2009/10
21.46,"S Dhawan","Delhi Capitals/Daredevils",2019
21.45,"SA Yadav","Mumbai Indians",2023
21.43,"F du Plessis","Chennai Super Kings",2020/21
21.42,"R Dravid","Rajasthan Royals",2011
21.30,"SS Iyer","Delhi Capitals/Daredevils",2015
21.16,"G Gambhir","Kolkata Knight Riders",2017
21.12,"SR Watson","Rajasthan Royals",2013
21.06,"JP Duminy","Mumbai Indians",2009
20.98,"S Dhawan","Punjab Kings /Kings XI Punjab",2022
20.89,"AJ Finch","Pune Warriors",2013
20.73,"JP Duminy","Delhi Capitals/Daredevils",2014
20.72,"Shubman Gill","Kolkata Knight Riders",2020/21
20.68,"LMP Simmons","Mumbai Indians",2015
20.68,"AM Rahane","Kolkata Knight Riders",2025
20.64,"Q de Kock","Mumbai Indians",2019
20.60,"AC Gilchrist","Deccan Chargers",2007/08
20.55,"DPMD Jayawardene","Punjab Kings /Kings XI Punjab",2009/10
20.49,"Yuvraj Singh","Pune Warriors",2011
20.48,"H Klaasen","Sunrisers Hyderabad",2025
20.44,"Abhishek Sharma","Sunrisers Hyderabad",2022
20.31,"BB McCullum","Kochi Tuskers Kerala",2011
20.27,"RK Singh","Kolkata Knight Riders",2023
20.01,"HM Amla","Punjab Kings /Kings XI Punjab",2017
19.99,"MEK Hussey","Chennai Super Kings",2011
19.92,"SPD Smith","Rising Pune Supergiants",2017
19.90,"Ishan Kishan","Mumbai Indians",2022
19.89,"R Dravid","Royal Challengers Banglore",2007/08
19.83,"AB de Villiers","Royal Challengers Banglore",2014
19.78,"V Sehwag","Delhi Capitals/Daredevils",2012
19.75,"H Klaasen","Sunrisers Hyderabad",2023
19.73,"Shubman Gill","Kolkata Knight Riders",2021
19.67,"SP Narine","Kolkata Knight Riders",2024
19.62,"S Dhawan","Deccan Chargers",2011
19.55,"GJ Maxwell","Punjab Kings /Kings XI Punjab",2014
19.51,"TM Head","Sunrisers Hyderabad",2024
19.48,"DA Warner","Delhi Capitals/Daredevils",2022
19.47,"SR Watson","Rajasthan Royals",2007/08
19.39,"DA Warner","Delhi Capitals/Daredevils",2013
19.38,"SC Ganguly","Kolkata Knight Riders",2007/08
19.38,"Ishan Kishan","Mumbai Indians",2020/21
19.36,"SS Iyer","Punjab Kings /Kings XI Punjab",2025
19.35,"HH Pandya","Gujarat Titans",2022
19.23,"Yuvraj Singh","Punjab Kings /Kings XI Punjab",2009
19.13,"SK Raina","Gujarat Lions",2017
19.12,"A Symonds","Deccan Chargers",2009/10
19.07,"F du Plessis","Royal Challengers Banglore",2022
19.03,"G Gambhir","Kolkata Knight Riders",2013
19.01,"SS Iyer","Kolkata Knight Riders",2022
18.91,"RG Sharma","Mumbai Indians",2013
18.90,"Mandeep Singh","Punjab Kings /Kings XI Punjab",2012
18.90,"RG Sharma","Mumbai Indians",2021
18.77,"RV Uthappa","Kolkata Knight Riders",2015
18.77,"DA Miller","Punjab Kings /Kings XI Punjab",2015
18.76,"KD Karthik","Kolkata Knight Riders",2018
18.69,"AM Rahane","Rajasthan Royals",2019
18.56,"RG Sharma","Mumbai Indians",2012
18.55,"RV Uthappa","Pune Warriors",2012
18.32,"RA Jadeja","Rajasthan Royals",2009
18.19,"NV Ojha","Rajasthan Royals",2009/10
18.11,"SV Samson","Delhi Capitals/Daredevils",2017
18.09,"RR Pant","Delhi Capitals/Daredevils",2024
18.08,"DA Miller","Punjab Kings /Kings XI Punjab",2013
17.80,"SK Raina","Chennai Super Kings",2007/08
17.73,"MS Dhoni","Chennai Super Kings",2019
17.63,"LMP Simmons","Mumbai Indians",2014
17.55,"V Sehwag","Delhi Capitals/Daredevils",2009/10
17.54,"MP Stoinis","Lucknow Super Giants",2023
17.50,"V Kohli","Royal Challengers Banglore",2017
17.22,"RG Sharma","Mumbai Indians",2024
17.21,"SK Raina","Gujarat Lions",2016
17.07,"SV Samson","Rajasthan Royals",2020/21
17.00,"BB McCullum","Chennai Super Kings",2015
17.00,"RD Gaikwad","Chennai Super Kings",2022
16.67,"JH Kallis","Royal Challengers Banglore",2009
16.38,"AM Rahane","Rajasthan Royals",2014
16.38,"SV Samson","Rajasthan Royals",2014
16.23,"SK Raina","Chennai Super Kings",2012
15.44,"S Dhawan","Punjab Kings /Kings XI Punjab",2023
15.42,"S Dube","Chennai Super Kings",2025
15.00,"KA Pollard","Mumbai Indians",2017
15.00,"PA Patel","Mumbai Indians",2017
14.92,"Shashank Singh","Punjab Kings /Kings XI Punjab",2024
14.86,"MK Pandey","Sunrisers Hyderabad",2021
14.16,"S Dhawan","Sunrisers Hyderabad",2013
